CL113,BA,2012-12-14,BA,2012-12-14,,Biologiškai suyranti alyva, pagaminta augalinio aliejaus pagrindu
CL113,DA,2012-12-14,DA,2012-12-14,,Dvitakčių variklių alyva
CL113,KA,2012-12-14,KA,2012-12-14,2021-05-31,Kita alyva (galiojo iki 2021-05-31)
CL113,KA1,2021-06-01,KA1,2021-06-01,,Kita alyva (galioja nuo 2021-06-01)
CL113,PA,2021-06-01,PA,2021-06-01,,Pramoninė alyva
CL113,PAE,2021-06-01,PAE,2021-06-01,,Pramoninė alyva (tik emulsija)
CL113,VA,2021-06-01,VA,2021-06-01,,Variklio ir pavarų dėžės alyva
