CL130,073,2022-01-01,073,2022-01-01,,Metalinė (aliuminio) antrinė (tretinė) sunaudota savo reikmėms
CL130,074,2022-01-01,074,2022-01-01,,Metalinė (juodųjų metalų) antrinė (tretinė) sunaudota savo reikmėms
CL130,075,2022-01-01,075,2022-01-01,,Popierinė (kartoninė) antrinė (tretinė) sunaudota savoms reikmėms
CL130,076,2022-01-01,076,2022-01-01,,Kita antrinė (tretinė) sunaudota savoms reikmėms
CL130,077,2022-01-01,077,2022-01-01,,PET antrinė (tretinė) sunaudota savoms reikmėms
CL130,078,2022-01-01,078,2022-01-01,,Medinė antrinė (tretinė) sunaudota savoms reikmėms
CL130,079,2022-01-01,079,2022-01-01,,Kombinuota antrinė (tretinė) sunaudota savoms reikmėms
CL130,08,2000-01-01,08,2000-01-01,2021-12-31,Medinė tuščia
CL130,09,2000-01-01,09,2000-01-01,2021-12-31,Kombinuota (kita) tuščia
CL130,11,2000-01-01,11,2000-01-01,2021-12-31,Stiklinė pirminė
CL130,12,2000-01-01,12,2000-01-01,2021-12-31,Plastikinė pirminė
CL130,13,2000-01-01,13,2000-01-01,2021-12-31,Kombinuota (popierinė) pirminė
CL130,14,2000-01-01,14,2000-01-01,2021-12-31,Metalinė pirminė
CL130,15,2000-01-01,15,2000-01-01,2021-12-31,Popierinė ir kartoninė pirminė
CL130,16,2000-01-01,16,2000-01-01,2021-12-31,Kita pirminė
CL130,17,2000-01-01,17,2000-01-01,2021-12-31,PET pirminė
CL130,18,2000-01-01,18,2000-01-01,2021-12-31,Medinė pirminė
CL130,19,2000-01-01,19,2000-01-01,2021-12-31,Kombinuota (kita) pirminė
CL130,21,2000-01-01,21,2000-01-01,2021-12-31,Stiklinė antrinė (tretinė)
CL130,22,2000-01-01,22,2000-01-01,2021-12-31,Plastikinė antrinė (tretinė)
CL130,23,2000-01-01,23,2000-01-01,2021-12-31,Kombinuota (popierinė) antrinė (tretinė)
CL130,24,2000-01-01,24,2000-01-01,2021-12-31,Metalinė antrinė (tretinė)
CL130,25,2000-01-01,25,2000-01-01,2021-12-31,Popierinė ir kartoninė antrinė (tretinė)
CL130,26,2000-01-01,26,2000-01-01,2021-12-31,Kita antrinė (tretinė)
CL130,27,2000-01-01,27,2000-01-01,2021-12-31,PET antrinė (tretinė)
CL130,28,2000-01-01,28,2000-01-01,2021-12-31,Medinė antrinė (tretinė)
CL130,29,2000-01-01,29,2000-01-01,2021-12-31,Kombinuota (kita) antrinė (tretinė)
CL130,31,2000-01-01,31,2000-01-01,2021-12-31,Stiklinė pirminė / užstatinė daugkartinė 
CL130,32,2000-01-01,32,2000-01-01,2021-12-31,Plastikinė pirminė daugkartinė
CL130,33,2000-01-01,33,2000-01-01,2021-12-31,Kombinuota (popierinė) pirminė daugkartinė
CL130,34,2000-01-01,34,2000-01-01,2021-12-31,Metalinė pirminė daugkartinė
CL130,35,2000-01-01,35,2000-01-01,2021-12-31,Popierinė (kartoninė) pirminė daugkartinė
CL130,36,2000-01-01,36,2000-01-01,2021-12-31,Kita pirminė daugkartinė
CL130,37,2000-01-01,37,2000-01-01,2021-12-31,PET pirminė daugkartinė
CL130,38,2000-01-01,38,2000-01-01,2021-12-31,Medinė pirminė daugkartinė
CL130,39,2000-01-01,39,2000-01-01,2021-12-31,Kombinuota (kita) pirminė daugkartinė
CL130,41,2000-01-01,41,2000-01-01,2021-12-31,Stiklinė antrinė (tretinė) daugkartinė
CL130,42,2000-01-01,42,2000-01-01,2021-12-31,Plastikinė antrinė (tretinė) daugkartinė
CL130,43,2000-01-01,43,2000-01-01,2021-12-31,Kombinuota (popierinė) antrinė (tretinė) daugkartinė
CL130,44,2000-01-01,44,2000-01-01,2021-12-31,Metalinė antrinė (tretinė) daugkartinė
CL130,45,2000-01-01,45,2000-01-01,2021-12-31,Popierinė ir kartoninė antrinė (tretinė) daugkartinė
CL130,46,2000-01-01,46,2000-01-01,2021-12-31,Kita antrinė (tretinė) daugkartinė
CL130,47,2000-01-01,47,2000-01-01,2021-12-31,PET antrinė (tretinė) daugkartinė
CL130,48,2000-01-01,48,2000-01-01,2021-12-31,Medinė antrinė (tretinė) daugkartinė
CL130,49,2000-01-01,49,2000-01-01,2021-12-31,Kombinuota (kita) antrinė (tretinė) daugkartinė
CL130,51,2000-01-01,51,2000-01-01,2021-12-31,Stiklinė užstatinė
CL130,54,2000-01-01,54,2000-01-01,2021-12-31,Metalinė užstatinė
CL130,57,2000-01-01,57,2000-01-01,2021-12-31,PET užstatinė
CL130,61,2000-01-01,61,2000-01-01,2021-12-31,Stiklinė pirminė sunaudota savoms reikmėms
CL130,62,2000-01-01,62,2000-01-01,2021-12-31,Plastikinė pirminė sunaudota savoms reikmėms
CL130,63,2000-01-01,63,2000-01-01,2021-12-31,Kombinuota (popierinė) pirminė sunaudota savoms reikmėms
CL130,64,2000-01-01,64,2000-01-01,2021-12-31,Metalinė pirminė sunaudota savoms reikmėms
CL130,65,2000-01-01,65,2000-01-01,2021-12-31,Popierinė (kartoninė) pirminė sunaudota savoms reikmėms
CL130,66,2000-01-01,66,2000-01-01,2021-12-31,Kita pirminė sunaudota savoms reikmėms
CL130,67,2000-01-01,67,2000-01-01,2021-12-31,PET pirminė sunaudota savoms reikmėms
CL130,68,2000-01-01,68,2000-01-01,2021-12-31,Medinė pirminė sunaudota savoms reikmėms
CL130,69,2000-01-01,69,2000-01-01,2021-12-31,Kombinuota (kita) pirminė sunaudota savoms reikmėms
CL130,71,2000-01-01,71,2000-01-01,2021-12-31,Stiklinė antrinė (tretinė) sunaudota savoms reikmėms
CL130,72,2000-01-01,72,2000-01-01,2021-12-31,Plastikinė antrinė (tretinė) sunaudota savoms reikmėms
CL130,73,2000-01-01,73,2000-01-01,2021-12-31,Kombinuota (popierinė) antrinė (tretinė) sunaudota savoms reikmėms
CL130,74,2000-01-01,74,2000-01-01,2021-12-31,Metalinė antrinė (tretinė) sunaudota savoms reikmėms
CL130,75,2000-01-01,75,2000-01-01,2021-12-31,Popierinė (kartoninė) antrinė (tretinė) sunaudota savoms reikmėms
CL130,76,2000-01-01,76,2000-01-01,2021-12-31,Kita antrinė (tretinė) sunaudota savoms reikmėms
CL130,77,2000-01-01,77,2000-01-01,2021-12-31,PET antrinė (tretinė) sunaudota savoms reikmėms
CL130,78,2000-01-01,78,2000-01-01,2021-12-31,Medinė antrinė (tretinė) sunaudota savoms reikmėms
CL130,79,2000-01-01,79,2000-01-01,2021-12-31,Kombinuota (kita) antrinė (tretinė) sunaudota savoms reikmėms
